Incident.day	Incident.month	Incident.year	Latitude	Longitude	Shark.common.name	Shark.scientific.name	Provoked.unprovoked	Victim.activity	Injury.location	Injury.description	Injury.severity\xca	Victim.gender	Victim.age	Time.of.incident
1	1	1791	-33.86666667	151.2	white shark	Carcharodon carcharias	unprovoked	swimming	torso		major lacerations	female		
22	3	1803	-25.83333333	113.8833333	tiger shark	Galeocerdo cuvier	unprovoked	swimming				male		
18	1	1807	-33.86666667	151.2	bull shark	Carcharhinus leucas	unprovoked	swimming	"arm, hand"		minor lacerations	male		
1	1	1820	-42.8	147.5333333			provoked	swimming	leg		major lacerations	male		
1	1	1825	-33.85	151.2166667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		minor lacerations	male	15	
1	1	1830	-43.28333333	147.3333333	white shark	Carcharodon carcharias	unprovoked	swimming	arm		major lacerations	female		
20	1	1832	-33.86666667	151.1833333	bull shark	Carcharhinus leucas	provoked	swimming	leg		minor lacerations	male		
4	6	1832	-33.83333333	151.2666667	white shark	Carcharodon carcharias	provoked	fishing	leg		major lacerations	female		
1	1	1836	-34.95	138.5	white shark	Carcharodon carcharias	unprovoked	swimming				male		
1	8	1836	-25.48333333	152.9833333	whaler shark	Carcharhinidae	unprovoked	swimming	other: body not recovered			male		
1	8	1836	-25.48333333	152.9833333	whaler shark	Carcharhinidae	unprovoked	swimming	other: body not recovered			male		
17	1	1837	-30.93333333	153.0166667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	12	
7	8	1839	-38.98333333	146.45	white shark	Carcharodon carcharias	provoked	swimming	leg		major lacerations	male		
1	12	1840	-33.85	151.2166667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male		
25	4	1841	-33.83333333	151.1666667	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		major lacerations	male		
3	3	1847	-27.25	153.25	bull shark	Carcharhinus leucas	unprovoked	swimming	foot		major lacerations	male		
30	11	1847	-27.43333333	153.0833333	bull shark	Carcharhinus leucas	unprovoked	swimming	"thigh, calf"		major lacerations	male		
1	1	1849	-33.36666667	115.2833333	white shark	Carcharodon carcharias	provoked	swimming				male		
9	12	1849	-38.33333333	141.6	white shark	Carcharodon carcharias	unprovoked	swimming	leg		other: teeth marks	male		
2	12	1849	-33.81666667	151.2	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		major lacerations	male		
1	1	1850	-27.28333333	153.2166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	other: body not recovered			male		
10	3	1850	-29.41666667	153.3333333	whaler shark	Carcharhinidae	unprovoked	swimming				male		
9	11	1853	-33.85	151.2166667	wobbegong	Orectolobidae	provoked	swimming	leg		minor lacerations	male		
1	1	1855	-25.5	152.7166667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	female		
6	1	1855	-33.85	151.2166667	bull shark	Carcharhinus leucas	unprovoked	swimming	other: uninjured			male		
28	7	1855	-10.56666667	142.2	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		major lacerations	male		
11	11	1855	-33.86666667	151.2	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male		
5	2	1856	-38.13333333	144.4166667	white shark	Carcharodon carcharias	unprovoked	swimming	"thigh, foot"		major lacerations	male	18	2100
22	5	1856	-35.53333333	138.6833333	wobbegong	Orectolobidae	unprovoked					male		
14	3	1858	-37.85	144.9	white shark	Carcharodon carcharias	unprovoked	swimming	calf		major lacerations	male	22	1500
1	1	1860	-35.56666667	138.6	white shark	Carcharodon carcharias	unprovoked	swimming	arm		major lacerations	male		
