Incident.month,Incident.year,Recovery.status,State,Latitude,Longitude,Shark.common.name,Provoked.unprovoked
11,1941,injured,WA,-26.46666667,110.2666667,other,Unprovoked
6,2016,injured,WA,-23.02411667,113.1294,other,Provoked
2,2017,injured,WA,-23.2411667,113.1294,bull shark,Unprovoked
5,1995,uninjured,WA,-24.83333333,113.1333333,tiger shark,Unprovoked
8,2012,injured,WA,-24.38333333,113.3833333,tiger shark,Unprovoked
4,2011,injured,WA,-24.48333333,113.4,other,Provoked
8,2014,injured,WA,-23.78333333,113.5,other,Provoked
12,1941,injured,WA,-24.88333333,113.65,bull shark,Unprovoked
6,2020,injured,WA,-22.6799,113.698,other,Unprovoked
4,2014,injured,WA,-23.13333333,113.75,other,Provoked
3,1984,injured,WA,-23.13333333,113.7666667,other,Unprovoked
5,2007,injured,WA,-23.13333333,113.7666667,other,Provoked
1,2012,injured,WA,-23.13333333,113.7666667,tiger shark,Unprovoked
3,2005,fatal,WA,-28.71666667,113.7833333,white shark,Unprovoked
3,1803,injured,WA,-25.83333333,113.8833333,tiger shark,Unprovoked
8,1907,injured,WA,-28.85,113.9,tiger shark,Provoked
12,2016,injured,WA,-21.15741667,114.0218833,other,Unprovoked
7,2007,uninjured,WA,-21.95,114.1166667,white shark,Unprovoked
2,2011,injured,WA,-21.95,114.1166667,other,Unprovoked
10,2013,injured,WA,-21.95,114.1166667,other,Unprovoked
4,2020,uninjured,WA,-21.93,114.117778,bull shark,Unprovoked
12,2019,injured,WA,-20.3441,114.143,other,
9,2016,uninjured,WA,-33.11656667,114.1649,white shark,Unprovoked
1,1893,uninjured,WA,-28.76666667,114.6,other,Provoked
8,1930,injured,WA,-28.76666667,114.6,other,Provoked
3,2013,injured,WA,-28.8,114.6,other,Provoked
5,1923,injured,WA,-28.81666667,114.6166667,other,Provoked
8,2010,fatal,WA,-33.85,114.9666667,white shark,Unprovoked
11,2013,fatal,WA,-33.85,114.9666667,white shark,Unprovoked
11,2003,injured,WA,-33.63333333,114.9833333,other,Provoked
7,2004,fatal,WA,-33.85,114.9833333,white shark,Unprovoked
3,2001,injured,WA,-33.96666667,114.9833333,other,Unprovoked
12,2003,injured,WA,-33.96666667,114.9833333,other,Provoked
11,2003,injured,WA,-33.96666667,114.9833333,other,Provoked
4,2004,injured,WA,-33.96666667,114.9833333,other,Unprovoked
12,1997,injured,WA,-33.98333333,114.9833333,other,Unprovoked
1,2004,injured,WA,-33.98333333,114.9833333,other,Unprovoked
9,2017,uninjured,WA,-33.8585,114.9843,white shark,Unprovoked
1,2021,injured,WA,-33.864,114.9864,other,Unprovoked
4,2018,uninjured,WA,-33.9825,114.9922,white shark,Unprovoked
2,2019,uninjured,WA,-33.6702,114.9951,white shark,Provoked
4,1963,injured,WA,-33.63333333,115,white shark,Unprovoked
12,2001,uninjured,WA,-33.63333333,115,white shark,Unprovoked
4,2008,injured,WA,-33.63333333,115,other,Provoked
8,1967,fatal,WA,-30.25,115.0166667,white shark,Provoked
3,2004,injured,WA,-30.25,115.0166667,other,Provoked
11,1960,injured,WA,-34.21666667,115.0166667,other,Provoked
1,1964,injured,WA,-34.21666667,115.0166667,other,Provoked
1,1998,injured,WA,-34.21666667,115.0166667,other,Provoked
12,2001,uninjured,WA,-34.25,115.0166667,white shark,Provoked
4,2018,injured,WA,-33.8416,115.0221,white shark,Unprovoked
4,2018,injured,WA,-33.8416,115.0221,white shark,Unprovoked
1,2018,injured,WA,-33.8416,115.0221,other,Unprovoked
5,2018,uninjured,WA,-33.8416,115.0221,white shark,Unprovoked
9,2011,fatal,WA,-33.53333333,115.0333333,white shark,Unprovoked
7,2020,injured,WA,-33.5427,115.0392,white shark,Unprovoked
3,2018,uninjured,WA,-34.2256,115.0609,tiger shark,Provoked
2,2018,injured,WA,-33.5638,115.0629,other,Provoked
3,2000,injured,WA,-31.95,115.0666667,white shark,Unprovoked
3,1910,uninjured,WA,-34.36666667,115.1166667,other,Unprovoked
12,2016,injured,WA,-31.14531667,115.1265,other,Unprovoked
10,2010,injured,WA,-30.83333333,115.2666667,white shark,Unprovoked
7,2012,fatal,WA,-30.83333333,115.2666667,white shark,Unprovoked
1,1849,fatal,WA,-33.36666667,115.2833333,white shark,Provoked
11,1980,injured,WA,-31,115.3,white shark,Unprovoked
12,1974,injured,WA,-33.63333333,115.35,other,Unprovoked
8,2009,uninjured,WA,-32,115.45,white shark,Unprovoked
10,2011,fatal,WA,-32,115.45,white shark,Unprovoked
2,1981,injured,WA,-32,115.5166667,other,Unprovoked
1,1989,injured,WA,-32,115.5166667,other,Unprovoked
9,1996,injured,WA,-32,115.5166667,other,Unprovoked
3,2012,fatal,WA,-33.46666667,115.5166667,white shark,Unprovoked
1,2020,uninjured,WA,-31.9908,115.5215,white shark,Provoked
6,1895,fatal,WA,-20.78333333,115.5333333,tiger shark,Provoked
11,1936,injured,WA,-31.98333333,115.5333333,other,Provoked
1,1948,injured,WA,-31.98333333,115.5333333,other,Provoked
12,1965,injured,WA,-31.98333333,115.5333333,other,Provoked
9,1966,uninjured,WA,-31.98333333,115.5333333,other,Provoked
7,2004,injured,WA,-31.98333333,115.5333333,other,Unprovoked
1,2008,injured,WA,-31.98333333,115.5333333,other,Unprovoked
3,2009,injured,WA,-31.98333333,115.5333333,other,Provoked
6,2015,injured,WA,-31.98333333,115.5333333,other,Provoked
2,2014,uninjured,WA,-32,115.55,white shark,Provoked
11,2014,injured,WA,-32.6,115.6166667,other,Unprovoked
10,2015,injured,WA,-32.6,115.6166667,other,Unprovoked
2,1910,injured,WA,-33.31666667,115.6166667,white shark,Unprovoked
11,2018,injured,WA,-32.6036,115.6304,other,Unprovoked
5,2016,fatal,WA,-32.58333333,115.6333333,white shark,Unprovoked
11,1885,injured,WA,-33.31666667,115.6333333,white shark,Unprovoked
2,1912,uninjured,WA,-33.31666667,115.6333333,other,Provoked
2,1924,injured,WA,-33.31666667,115.6333333,other,Unprovoked
6,2004,injured,WA,-33.33333333,115.6333333,white shark,Unprovoked
6,2017,uninjured,WA,-33.3146,115.635,white shark,Unprovoked
2,1961,uninjured,WA,-32.11666667,115.65,other,Provoked
4,1987,injured,WA,-32.16666667,115.65,other,Unprovoked
2,2017,uninjured,WA,-32.567,115.65,other,Unprovoked
6,2016,fatal,WA,-31.66666667,115.6666667,white shark,Unprovoked
10,2010,injured,WA,-32.18333333,115.6833333,white shark,Unprovoked
10,1964,injured,WA,-32.51666667,115.6833333,other,Provoked
1,2004,injured,WA,-33.13333333,115.6833333,white shark,Provoked
1,2002,injured,WA,-33.3,115.6833333,other,Unprovoked
3,2009,injured,WA,-32.5,115.7,white shark,Unprovoked
11,1991,injured,WA,-32.51666667,115.7,white shark,Unprovoked
8,1978,uninjured,WA,-31.76666667,115.7166667,white shark,Unprovoked
10,2012,uninjured,WA,-31.76666667,115.7166667,white shark,Unprovoked
6,2012,uninjured,WA,-31.78333333,115.7166667,white shark,Unprovoked
12,2008,fatal,WA,-32.35,115.7166667,white shark,Provoked
3,2003,injured,WA,-32.53333333,115.7166667,other,Provoked
9,2019,uninjured,WA,-31.7247,115.7249,white shark,Provoked
2,2018,injured,WA,-31.7789,115.7326,other,Unprovoked
2,2000,injured,WA,-31.81666667,115.7333333,other,Unprovoked
12,1914,injured,WA,-31.98333333,115.7333333,other,Provoked
11,1920,injured,WA,-31.98333333,115.7333333,other,Unprovoked
2,1981,injured,WA,-32.01666667,115.7333333,other,Unprovoked
3,1956,uninjured,WA,-32.13333333,115.7333333,other,Unprovoked
5,2013,uninjured,WA,-32.4,115.7333333,white shark,Unprovoked
2,2018,uninjured,WA,-32.5361,115.7424,other,Provoked
3,1984,injured,WA,-31.83333333,115.75,other,Unprovoked
3,1985,injured,WA,-31.85,115.75,other,Provoked
2,2004,injured,WA,-31.85,115.75,other,Unprovoked
2,2004,injured,WA,-31.85,115.75,other,Unprovoked
12,1999,uninjured,WA,-31.88333333,115.75,white shark,Provoked
9,2005,uninjured,WA,-31.88333333,115.75,white shark,Unprovoked
6,2004,uninjured,WA,-31.91666667,115.75,white shark,Provoked
2,1946,injured,WA,-31.93333333,115.75,white shark,Unprovoked
1,2006,injured,WA,-31.93333333,115.75,white shark,Provoked
8,2002,uninjured,WA,-31.96666667,115.75,white shark,Unprovoked
11,1925,fatal,WA,-31.98333333,115.75,tiger shark,Unprovoked
10,1997,injured,WA,-31.98333333,115.75,white shark,Unprovoked
4,2000,injured,WA,-31.98333333,115.75,other,Provoked
11,2000,injured,WA,-31.98333333,115.75,white shark,Unprovoked
11,2000,fatal,WA,-31.98333333,115.75,white shark,Unprovoked
10,2011,fatal,WA,-31.98333333,115.75,white shark,Unprovoked
1,2019,injured,WA,-31.989,115.7526,other,Unprovoked
1,1923,fatal,WA,-31.96666667,115.7666667,bull shark,Unprovoked
1,2021,injured,WA,-32.0117,115.7866,bull shark,Unprovoked
1,1959,injured,WA,-31.95,115.85,bull shark,Provoked
1,1964,uninjured,WA,-31.95,115.85,other,Provoked
2,1968,injured,WA,-31.95,115.85,bull shark,Unprovoked
11,1969,injured,WA,-31.95,115.85,bull shark,Unprovoked
2,1933,uninjured,WA,-31.96666667,115.85,bull shark,Provoked
1,2013,injured,WA,-20.35,116.8166667,other,Provoked
6,2010,injured,WA,-35.03333333,116.8333333,white shark,Unprovoked
12,2006,uninjured,WA,-20.36666667,116.8666667,other,Provoked
2,1911,uninjured,WA,-20.38333333,116.8666667,tiger shark,Unprovoked
5,1952,injured,WA,-35.06666667,117.05,other,Provoked
1,1936,injured,WA,-20.66666667,117.1833333,tiger shark,Provoked
9,2017,injured,WA,-20.61367,117.1863,other,Unprovoked
1,1876,injured,WA,-20.7,117.25,bull shark,Provoked
11,1920,injured,WA,-35.01666667,117.3333333,other,Unprovoked
6,2015,injured,WA,-35.01666667,117.3333333,white shark,Unprovoked
1,1996,injured,WA,-35.05,117.6833333,other,Provoked
5,2008,injured,WA,-35.01666667,117.9166667,white shark,Unprovoked
11,1997,injured,WA,-35.13333333,117.95,white shark,Unprovoked
12,2014,fatal,WA,-32.60315055,115.6299629,white shark,Provoked
10,2015,injured,WA,-34.88003124,118.404958,white shark,Provoked
12,1917,injured,WA,-20.3,118.5833333,tiger shark,Unprovoked
11,1916,fatal,WA,-20,119.3333333,tiger shark,Provoked
11,1923,fatal,WA,-20,119.35,tiger shark,Provoked
11,1923,fatal,WA,-20,119.35,tiger shark,Provoked
11,1916,injured,WA,-20,119.3666667,tiger shark,Provoked
9,1995,fatal,WA,-33.88333333,120.6833333,white shark,Unprovoked
4,2017,fatal,WA,-33.83250092,121.9968696,white shark,Unprovoked
3,1987,injured,WA,-33.88333333,121.8166667,white shark,Unprovoked
11,1896,fatal,WA,-33.85,121.8833333,white shark,Unprovoked
2,1971,injured,WA,-33.85,121.8833333,other,Provoked
10,2020,fatal,WA,-34.8611,121.8919,white shark,Unprovoked
1,2020,fatal,WA,-33.9222,121.9032,white shark,Unprovoked
10,2014,injured,WA,-33.83333333,121.9166667,white shark,Unprovoked
5,1882,fatal,WA,-15.88333333,122,tiger shark,Provoked
